the_geom,OBJECTID,STATEFP10,COUNTYFP10,Tract,Block Group,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,SUMLEV,STATE,COUNTY,TRACT,BLKGRP,GEOID10_1,TOTAL_POP,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULTI_RACE,HISPANIC,NON_HISPAN,HSE_UNITS,OCCUP,VACANT,PST_CD,CITY,GlobalID,Shape.STArea(),Shape.STLength(),TRACTNAME10
"MULTIPOLYGON (((-78.811540999645 42.905160998849, -78.812630000382 42.905013999268, -78.813745999665 42.904864998695, -78.814897999708 42.904707998652, -78.814953999591 42.904699999182, -78.814959999868 42.906726999091, -78.814951000352 42.908074999176, -78.814795000356 42.908070998991, -78.814779999664 42.908825998721, -78.814778999618 42.90911299936, -78.814775000333 42.909720999508, -78.814776000379 42.90975399923, -78.814751000126 42.90975399923, -78.814320000044 42.909762998746, -78.813708999758 42.909763998792, -78.81259699976 42.909771999161, -78.811511000061 42.909776999391, -78.811510000015 42.909119998783, -78.811524999807 42.907349999031, -78.811535000268 42.906612999232, -78.811540999645 42.905160998849)))",167,36,029,002900,1,360290029001,Block Group 1,G5030,S,147859,0,+42.9073233,-078.8132379,150,36,029,002900,1,360290029001,558,85,447,3,4,0,4,15,24,534,270,186,84,,,{9C1A952A-98FB-4E55-B10C-D4B880B4E119},0.000016298273854,0.016539546971277,29
"MULTIPOLYGON (((-78.857543999625 42.87326099876, -78.855911999938 42.872989998858, -78.855065999611 42.872848998654, -78.853924000029 42.872658998889, -78.851723000194 42.872477998639, -78.851638999919 42.872457998617, -78.851540999898 42.872467999078, -78.849123999999 42.87204599941, -78.848482000082 42.871852999506, -78.847968999817 42.871681998818, -78.846024000092 42.871033998625, -78.84532900043 42.870801998723, -78.84524900034 42.870773999231, -78.845359000014 42.870441999215, -78.845681999615 42.869451999445, -78.845751000098 42.869240998712, -78.845974999631 42.868555998612, -78.845994999654 42.868474999375, -78.847550000288 42.868751998654, -78.848041999585 42.868839999113, -78.849582999573 42.869121998622, -78.851493000384 42.869470999422, -78.852184999907 42.869596998935, -78.852485000246 42.869651998772, -78.85254600036 42.869661999233, -78.853555000107 42.869826998745, -78.854205000392 42.869938999411, -78.85479999994 42.870041998763, -78.854870999616 42.870054999362, -78.855051999865 42.870086999039, -78.856207000047 42.870287999311, -78.856747999804 42.870382999194, -78.85735399986 42.870488998684, -78.85837500016 42.870667998841, -78.860677000154 42.871066999247, -78.861631000063 42.871232998806, -78.863084999638 42.871477999307, -78.862918000034 42.872003999272, -78.862768000314 42.872473999354, -78.862692000408 42.872698998934, -78.862650000271 42.872855998977, -78.862628000156 42.872926998652, -78.862461999699 42.87345999894, -78.863521999998 42.873647998613, -78.863900000335 42.873707998681, -78.863778000107 42.87408299888, -78.863628000387 42.874549998823, -78.863367000047 42.875354999059, -78.863301999749 42.875557999423, -78.862194999981 42.875079998973, -78.861979999963 42.874986999182, -78.859628000362 42.874307999359, -78.859250000025 42.873556998915, -78.858553000271 42.87349099947, -78.858470000042 42.873430999402, -78.857543999625 42.87326099876)))",96,36,029,016400,2,360290164002,Block Group 2,G5030,S,476961,0,+42.8715885,-078.8548018,150,36,029,016400,2,360290164002,847,564,196,10,4,0,32,41,139,708,561,365,196,,,{46DBA956-09DE-41D9-814C-6E53524EADE5},0.000052544670521,0.044318779473936,164
"MULTIPOLYGON (((-78.855937000191 42.944520999278, -78.854754999664 42.94450499944, -78.85452099967 42.944498999163, -78.85361099999 42.944479999187, -78.853133999586 42.944477999095, -78.852941999728 42.944481999279, -78.852749999871 42.944480999233, -78.852558000014 42.944474998956, -78.852082999702 42.944446999464, -78.8517990001 42.944423999303, -78.851516999691 42.944394998866, -78.851177000206 42.944354998821, -78.85083999996 42.944307999352, -78.85050399976 42.944251999469, -78.850170999698 42.944188999262, -78.849840999775 42.944117998688, -78.849983000025 42.943428999303, -78.85021199979 42.94284299927, -78.850245999558 42.942795998902, -78.850337000156 42.942649999366, -78.850391999993 42.942533999415, -78.850440000407 42.942433999302, -78.850655000425 42.941960999082, -78.850695999617 42.941835998716, -78.850735999663 42.941658998651, -78.850753000446 42.941487998862, -78.850751000354 42.941215998914, -78.850758999824 42.940963998989, -78.850758999824 42.940776999362, -78.850997000003 42.940812999223, -78.851230999997 42.940858998646, -78.851345999903 42.940885998991, -78.851673999734 42.940947999151, -78.851787000446 42.940971999358, -78.851957000189 42.941006999173, -78.853351999742 42.941254998913, -78.853711000103 42.941307998659, -78.853997999843 42.941336999096, -78.85429600009 42.94134899875, -78.854591000199 42.94135399898, -78.854730000311 42.941349998796, -78.855224999746 42.94130499942, -78.855641000037 42.941251998775, -78.856239999769 42.94111899894, -78.856501000109 42.941054998687, -78.857515000087 42.940788999016, -78.857998999914 42.940667998834, -78.858346999768 42.940566998675, -78.85868500006 42.940448998632, -78.860289000255 42.940461999231, -78.861764999945 42.940472998839, -78.861864000012 42.940473998885, -78.862231999888 42.940476999023, -78.862898000012 42.940481999254, -78.86346199993 42.940489998723, -78.863455999653 42.941471999024, -78.863451000322 42.942388999026, -78.863431000299 42.943308999167, -78.864838000406 42.943327999144, -78.867991000059 42.943348999212, -78.868053000219 42.943861999477, -78.868077999572 42.944073999357, -78.860401000022 42.944066999035, -78.859933000032 42.944065998989, -78.856963999868 42.943937999383, -78.857270999631 42.944537999162, -78.855937000191 42.944520999278)))",21,36,029,005400,4,360290054004,Block Group 4,G5030,S,437314,0,+42.9426394,-078.8576209,150,36,029,005400,4,360290054004,834,730,54,4,24,0,5,17,26,808,421,402,19,,,{7260E242-D6BC-4116-8C44-79E3D9D82B4A},0.00004823151201,0.043739770103819,54
"MULTIPOLYGON (((-78.843425999942 42.92193399861, -78.843430000127 42.921168999319, -78.843433000265 42.920419998967, -78.843434000311 42.920091999136, -78.843228999855 42.919148998834, -78.843228999855 42.916934999299, -78.843426999989 42.916930999115, -78.846779999867 42.916954999322, -78.848042999631 42.91695799946, -78.848037000254 42.917733999258, -78.848032000023 42.918475999288, -78.848026999793 42.919240999478, -78.848229000111 42.919247998901, -78.848186999974 42.920233999386, -78.848110000022 42.922015998793, -78.846935999863 42.921994998724, -78.846893999726 42.921994998724, -78.845764999844 42.921973998655, -78.845450999758 42.921968999324, -78.844551999686 42.921953998633, -78.843801000142 42.921941998979, -78.843662000029 42.921938998841, -78.843425999942 42.92193399861)))",249,36,029,003301,2,360290033012,Block Group 2,G5030,S,218256,0,+42.9194490,-078.8457194,150,36,029,003301,2,360290033012,798,16,768,4,0,0,3,7,8,790,427,334,93,,,{68BAB562-7875-4F4D-9B60-16785CE40277},0.000024062812233,0.019775636493136,33.01
"MULTIPOLYGON (((-78.804150999834 42.871816998746, -78.804918000117 42.871826999207, -78.804967999724 42.871827999253, -78.805856000188 42.871839998907, -78.806775000283 42.871852999506, -78.807712000308 42.871865999206, -78.808645000148 42.871876998814, -78.808601999965 42.873324999012, -78.808553999551 42.874869999185, -78.807631000171 42.874853999347, -78.807613000241 42.875474999194, -78.805707999661 42.875535999308, -78.805724000399 42.874821998771, -78.80487599998 42.874804998887, -78.804052999814 42.874787999002, -78.804097000043 42.873409999333, -78.804150999834 42.871816998746)))",185,36,029,016700,2,360290167002,Block Group 2,G5030,S,133425,0,+42.8734981,-078.8063784,150,36,029,016700,2,360290167002,805,729,44,0,6,0,10,16,50,755,400,358,42,,,{A4A93C5D-AE34-4266-8EBB-3BD0A8EF7D23},0.000014699270402,0.016297307247399,167
"MULTIPOLYGON (((-78.813643000313 42.937956998872, -78.814286000275 42.937703998901, -78.815245000415 42.937316999048, -78.816464999996 42.936822998759, -78.817098000396 42.936561999319, -78.817344000045 42.936458999067, -78.817585000362 42.936363999185, -78.818140999912 42.936143998936, -78.818419000136 42.936544999434, -78.818404000344 42.937726999062, -78.818384000321 42.939325999026, -78.818381000183 42.940150999284, -78.81733499963 42.940162998938, -78.815284000414 42.940181998915, -78.814125000048 42.940201998937, -78.813652999874 42.940201998937, -78.81364899969 42.939390999324, -78.813644000359 42.939289999165, -78.813647999644 42.939123998708, -78.813647999644 42.938623999042, -78.813643000313 42.937956998872)))",236,36,029,004200,1,360290042001,Block Group 1,G5030,S,136251,0,+42.9385459,-078.8162474,150,36,029,004200,1,360290042001,667,12,633,3,6,0,7,6,20,647,308,266,42,,,{C6629B63-821A-4794-9112-D45EFBC93EFE},0.000015026107738,0.015917422392712,42
"MULTIPOLYGON (((-78.844026999767 42.885054999232, -78.844038000275 42.883335999133, -78.844044999698 42.882663998733, -78.844049999928 42.881922998749, -78.844053000067 42.88169799917, -78.844055000159 42.881610998757, -78.844056000205 42.881519999058, -78.844062999628 42.881033999138, -78.844069999951 42.880591999448, -78.844073000089 42.880139999297, -78.84407800032 42.879349998853, -78.844080999559 42.878930999324, -78.845683999707 42.879206999456, -78.847306999878 42.879486998873, -78.848389000292 42.879677998685, -78.848958999587 42.879778998844, -78.849894999566 42.879941999163, -78.850867000305 42.880111998906, -78.851502999945 42.880222998626, -78.851881000283 42.880288998971, -78.852891000075 42.88046499899, -78.852898000398 42.881660999263, -78.852909000006 42.882094999483, -78.852916000328 42.883330998902, -78.851909999821 42.883332998994, -78.850904000212 42.883334999087, -78.849917999727 42.883337999225, -78.84893500028 42.883340999363, -78.847938000187 42.883341999409, -78.84729100004 42.883342999455, -78.846952999748 42.883337999225, -78.846952999748 42.884601999035, -78.846945000278 42.885077999393, -78.846945000278 42.885097999416, -78.846951999702 42.88783699887, -78.846920000025 42.88783699887, -78.845979999862 42.887837998916, -78.845946000093 42.887837998916, -78.844997999561 42.887841999101, -78.844973000207 42.887841999101, -78.844030999952 42.887844999239, -78.844026999767 42.885054999232)))",205,36,029,001500,1,360290015001,Block Group 1,G5030,S,411611,0,+42.8826796,-078.8473924,150,36,029,001500,1,360290015001,573,76,468,1,10,0,3,15,18,555,347,259,88,,,{139887CD-2DEE-474C-B7CF-4D4497D1BCA6},0.00004535347118,0.034106167363695,15
"MULTIPOLYGON (((-78.842620999707 42.903700998997, -78.842614000284 42.900928998921, -78.842378000197 42.901027998988, -78.842378000197 42.899368998956, -78.842383000427 42.898551999067, -78.842363999551 42.897795999292, -78.842362000358 42.896656998948, -78.843444999919 42.896315999417, -78.844583000216 42.895957999102, -78.845808000027 42.895571999296, -78.847060000183 42.89517799912, -78.84706100023 42.895323998655, -78.847065999561 42.897647998765, -78.847083000344 42.899065999378, -78.845842999842 42.899585999067, -78.845856000441 42.900131999055, -78.844619000077 42.900108998894, -78.844622000215 42.901927999106, -78.844625000354 42.903718998928, -78.843558999778 42.903709999412, -78.842620999707 42.903700998997)))",157,36,029,016600,3,360290166003,Block Group 3,G5030,S,237546,0,+42.8990301,-078.8444377,150,36,029,016600,3,360290166003,541,10,518,1,1,0,5,6,10,531,324,237,87,,,{CAB3783F-7375-4489-AC69-CA8E3B375415},0.00002618094831,0.024954681089907,166
"MULTIPOLYGON (((-78.799756999633 42.876213999085, -78.799753000348 42.875858998909, -78.799840999908 42.874711999096, -78.799864000069 42.873569998615, -78.799929000368 42.871731999325, -78.800073999857 42.871734999463, -78.800971999883 42.871753999439, -78.801040000319 42.871755998632, -78.802053000251 42.871776998701, -78.803110999558 42.871802999, -78.803969999585 42.871813999507, -78.804150999834 42.871816998746, -78.804097000043 42.873409999333, -78.804052999814 42.874787999002, -78.80487599998 42.874804998887, -78.805724000399 42.874821998771, -78.805707999661 42.875535999308, -78.807613000241 42.875474999194, -78.807631000171 42.874853999347, -78.808553999551 42.874869999185, -78.808539999805 42.875342999405, -78.80851799969 42.876079999204, -78.808171999928 42.876117999157, -78.808021000162 42.876138999225, -78.807238000042 42.876219999362, -78.80676799996 42.876255999223, -78.806472999851 42.876270999015, -78.806178999789 42.876290999038, -78.805852000004 42.876304998784, -78.805063999652 42.876317999383, -78.805007999769 42.876318999429, -78.804006000345 42.87630599883, -78.802369999575 42.876283998715, -78.801916000231 42.876274999199, -78.801255000338 42.876255999223, -78.800456000379 42.876232999062, -78.799756999633 42.876213999085)))",184,36,029,016700,1,360290167001,Block Group 1,G5030,S,219069,0,+42.8743675,-078.8028408,150,36,029,016700,1,360290167001,766,714,27,8,1,0,3,13,15,751,415,374,41,,,{93C65740-1EC8-4AFD-B2E1-0F357A38BE16},0.000024135245273,0.027501470766247,167
"MULTIPOLYGON (((-78.857314999861 42.922180999204, -78.857564999694 42.921949999348, -78.85883499978 42.920751998983, -78.859590999556 42.920734999098, -78.862208999727 42.920681999353, -78.863126999776 42.920662999377, -78.863841000313 42.920646998639, -78.864046999917 42.920640999262, -78.86434600021 42.920633998939, -78.865179999983 42.920612998871, -78.867516999792 42.920566999448, -78.867741000226 42.920766998775, -78.867988999966 42.920716999168, -78.868806999902 42.921425999475, -78.869790000249 42.922266998672, -78.869811000317 42.922283999456, -78.870627000161 42.922974998933, -78.869779999788 42.923500998898, -78.867441999933 42.92353399862, -78.867407000118 42.92302999877, -78.867331000212 42.922298999248, -78.86732900012 42.922271998902, -78.864636000088 42.92226999881, -78.863769999738 42.922264999479, -78.863025999617 42.922260999295, -78.862189999751 42.922255999064, -78.860725999715 42.922237999134, -78.86003700033 42.922233998949, -78.859329000069 42.92222599948, -78.857314999861 42.922180999204)))",190,36,029,016900,4,360290169004,Block Group 4,G5030,S,186949,0,+42.9217362,-078.8644770,150,36,029,016900,4,360290169004,1009,458,462,18,6,0,27,38,106,903,334,272,62,,,{4B376370-EC47-4C8C-A255-6DAF7ECCBBE7},0.000020611887174,0.029413200926495,169
