Total Median Housing values (DOLLARS),state,county,tract,block group,Total Median contract rent (DOLLARS),Total Population 25 years and older that have less than a college education,Total Population that is 25 years and older ,Total Median Gross Rent As A Percentage Of Household Income In The Past 12 Months (Dollars),Total below povery line (population whose poverty level is determined),Total Population for whom poverty status is determined,Total Number of Vacant Housing Units,Total Number of Housing Units,Total Number of Owner per housing unit,Total Number of Renter per housing unit,Total Number of Occupied Housing Units,Total number of person(only Hisapnic),Total number of person(only White),Total number of person(only Black or African American),Total population,Year
101300,36,029,009301,5,283,235,715,36.3,554,1351,41,631,146,444,590,0,837,503,1351,2014
98000,36,029,009302,1,1041,269,712,24.2,69,954,41,450,324,85,409,34,726,120,954,2014
104100,36,029,009302,2,647,224,813,17.2,69,1159,10,537,492,35,527,10,1030,64,1159,2014
103100,36,029,009302,3,656,186,405,23.1,162,553,0,211,139,72,211,2,532,12,642,2014
137500,36,029,009401,1,778,151,768,26.7,204,1165,32,695,272,391,663,92,1500,37,1749,2014
184300,36,029,009401,2,-666666666,54,1074,-666666666.0,57,1618,0,582,556,26,582,52,1379,104,1618,2014
139700,36,029,009401,3,623,150,581,19.2,0,726,34,393,259,100,359,0,544,111,726,2014
122600,36,029,009401,4,-666666666,140,696,-666666666.0,165,1157,0,374,346,28,374,4,1096,76,1172,2014
168100,36,029,009401,5,-666666666,174,528,-666666666.0,28,758,0,318,285,33,318,9,728,21,758,2014
180500,36,029,009402,1,-666666666,146,623,-666666666.0,68,784,21,404,374,9,383,22,682,83,784,2014
169600,36,029,009402,2,685,165,849,21.7,24,1124,0,549,308,241,549,67,1117,0,1124,2014
224300,36,029,009402,3,1493,73,889,24.2,46,1236,10,505,451,44,495,18,1193,0,1236,2014
183300,36,029,009402,4,-666666666,74,844,-666666666.0,17,1136,7,487,471,9,480,42,1091,0,1136,2014
256800,36,029,009501,1,-666666666,29,285,-666666666.0,79,456,0,158,158,0,158,0,337,119,456,2014
123200,36,029,009501,2,720,138,1487,16.9,57,1875,72,987,803,112,915,0,1618,257,1875,2014
163900,36,029,009501,3,880,196,1190,21.8,10,1699,0,720,669,51,720,29,1537,90,1699,2014
