unique,aa2013,aa2018,> 10% decrease,> 10% increase
0043003,931,546,True,False
0043004,237,367,False,True
0043005,973,865,True,False
0043006,650,520,True,False
0043007,242,675,False,True
0044011,815,662,True,False
0044012,894,1132,False,True
0044013,1032,1462,False,True
0044014,778,951,False,True
0044021,1597,1229,True,False
0044022,926,902,False,False
0045001,308,93,True,False
0045002,898,455,True,False
0045003,153,59,True,False
0045004,326,75,True,False
0045005,71,45,True,False
0045006,22,0,True,False
0046011,156,185,False,True
0046012,243,159,True,False
0046013,185,48,True,False
0046014,15,177,False,True
0046021,202,216,False,False
0047001,685,667,False,False
0047002,582,555,False,False
0047003,1411,1271,False,False
0047004,876,828,False,False
0047005,523,726,False,True
0048001,285,261,False,False
0048002,290,26,True,False
0048003,49,47,False,False
0049001,318,56,True,False
0049002,121,15,True,False
0049003,183,0,True,False
0049004,37,54,False,True
0049005,281,186,True,False
0050001,320,196,True,False
0050002,184,36,True,False
0050003,431,130,True,False
0051001,273,367,False,True
0051002,99,368,False,True
0051003,323,166,True,False
0051004,44,240,False,True
0052011,28,18,True,False
0052012,17,26,False,True
0052013,287,299,False,False
0052014,170,104,True,False
0052021,392,716,False,True
0052022,963,908,False,False
0053001,97,140,False,True
0053002,334,332,False,False
0054001,136,159,False,True
0054002,102,141,False,True
0054003,36,133,False,True
0054004,194,14,True,False
0055001,102,84,True,False
0055002,177,228,False,True
0055003,34,202,False,True
0055004,395,110,True,False
0056001,291,225,True,False
0056002,110,101,False,False
0056003,464,316,True,False
0056004,176,616,False,True
0056005,95,88,False,False
0057001,296,313,False,False
0057002,69,11,True,False
0057003,167,149,True,False
0058011,21,97,False,True
0058012,92,80,True,False
0058013,44,230,False,True
0058021,124,137,False,True
0058022,137,283,False,True
0058023,66,181,False,True
0058024,165,0,True,False
0059001,0,79,False,True
0059002,101,80,True,False
0059003,132,26,True,False
0059004,34,134,False,True
0059005,127,245,False,True
0061001,33,311,False,True
0061002,313,41,True,False
0061003,85,198,False,True
0061004,862,640,True,False
0061005,412,192,True,False
0062011,400,1101,False,True
0063011,0,0,False,False
0063012,18,22,False,True
0063013,55,87,False,True
0063014,36,201,False,True
0063015,217,110,True,False
0063021,1,97,False,True
0063022,39,179,False,True
0063023,0,0,False,False
0065011,1,1,False,False
0065012,57,17,True,False
0065013,46,64,False,True
0065014,131,372,False,True
0066011,39,126,False,True
0066012,52,78,False,True
0066013,63,45,True,False
0066021,0,63,False,True
0066022,133,96,True,False
0066023,184,325,False,True
0067011,228,82,True,False
0067012,0,0,False,False
0067013,240,64,True,False
0067021,203,146,True,False
0067022,506,475,False,False
0067023,30,116,False,True
0068001,99,0,True,False
0068002,102,97,False,False
0068003,99,85,True,False
0068004,74,43,True,False
0069011,425,53,True,False
0069012,244,82,True,False
0069013,172,222,False,True
0069014,86,97,False,True
0069021,301,434,False,True
0069022,89,9,True,False
0069023,150,37,True,False
0069024,169,168,False,False
0070001,277,446,False,True
0070002,123,150,False,True
0070003,276,271,False,False
0071011,83,81,False,False
0071012,421,499,False,True
0071013,148,178,False,True
0071014,411,291,True,False
0071021,797,773,False,False
0071022,53,154,False,True
0071023,259,10,True,False
0072021,244,551,False,True
0001101,0,0,False,False
0001102,0,0,False,False
0001103,107,80,True,False
0001104,0,46,False,True
0002001,0,11,False,True
0002002,10,63,False,True
0002003,2,131,False,True
0002004,0,46,False,True
0005001,1,72,False,True
0005002,13,33,False,True
0006001,34,0,True,False
0006002,0,1,False,True
0006003,264,198,True,False
0006004,6,311,False,True
0007001,0,0,False,False
0007002,0,0,False,False
0007003,0,7,False,True
0007004,9,6,True,False
0007005,4,2,True,False
0008001,0,0,False,False
0008002,153,10,True,False
0008003,26,8,True,False
0008004,0,4,False,True
0009001,0,0,False,False
0009002,35,0,True,False
0009003,37,13,True,False
0010001,63,170,False,True
0010002,0,98,False,True
0010003,29,7,True,False
0010004,77,136,False,True
0010005,173,154,True,False
0011001,26,25,False,False
0011002,0,29,False,True
0011003,91,110,False,True
0014021,649,606,False,False
0014022,529,321,True,False
0014023,1215,1107,False,False
0014024,842,265,True,False
0015001,477,366,True,False
0015002,768,754,False,False
0016001,163,426,False,True
0016002,500,438,True,False
0016003,112,120,False,False
0016004,320,287,True,False
0017001,418,324,True,False
0017002,193,171,True,False
0019001,7,101,False,True
0019002,0,0,False,False
0019003,128,51,True,False
0023001,89,57,True,False
0023002,80,193,False,True
0023003,0,37,False,True
0023004,228,222,False,False
0024001,149,334,False,True
0024002,189,75,True,False
0024003,0,9,False,True
0024004,226,0,True,False
0024005,161,36,True,False
0024006,0,33,False,True
0025021,789,699,True,False
0025022,903,1046,False,True
0027021,133,259,False,True
0027022,177,212,False,True
0027023,213,184,True,False
0027024,558,183,True,False
0028001,220,132,True,False
0028002,256,315,False,True
0028003,124,134,False,False
0028004,664,496,True,False
0029001,376,407,False,False
0029002,327,264,True,False
0029003,424,452,False,False
0029004,402,321,True,False
0030001,505,465,False,False
0030002,930,616,True,False
0030003,756,515,True,False
0031001,285,465,False,True
0031002,482,448,False,False
0031003,772,733,False,False
0031004,182,229,False,True
0033011,732,456,True,False
0033012,802,762,False,False
0033013,1055,1486,False,True
0033014,810,697,True,False
0033021,693,233,True,False
0033022,979,635,True,False
0033023,801,967,False,True
0033024,723,638,True,False
0034001,645,611,False,False
0034002,578,428,True,False
0034003,487,411,True,False
0034004,340,350,False,False
0034005,294,460,False,True
0035001,281,255,False,False
0035002,653,546,True,False
0035003,1076,773,True,False
0035004,729,1009,False,True
0036001,682,608,True,False
0036002,517,532,False,False
0036003,463,701,False,True
0036004,326,364,False,True
0037001,900,974,False,False
0037002,678,824,False,True
0037003,218,154,True,False
0037004,845,975,False,True
0037005,618,286,True,False
0038001,1146,921,True,False
0038002,544,397,True,False
0038003,829,1078,False,True
0039011,952,725,True,False
0040011,1170,1098,False,False
0040012,409,474,False,True
0040013,812,962,False,True
0040014,626,443,True,False
0040015,81,141,False,True
0041001,1278,1271,False,False
0041002,944,1108,False,True
0041003,930,512,True,False
0041004,901,1065,False,True
0042001,600,621,False,False
0042002,448,676,False,True
0042003,334,622,False,True
0042004,818,555,True,False
0042005,936,1113,False,True
0043001,680,536,True,False
0043002,509,1233,False,True
0163001,0,68,False,True
0163002,295,40,True,False
0163003,3,104,False,True
0164001,574,655,False,True
0164002,89,9,True,False
0164003,139,91,True,False
0164004,689,657,False,False
0165001,411,425,False,False
0166001,701,549,True,False
