,STATEFP,COUNTYFP,Tract,Block,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,geometry
74,36,029,016800,2,360290168002,Block Group 2,G5030,S,418211,0,+42.9087575,-078.8646381,"POLYGON ((-78.868179 42.904601, -78.86816899999999 42.90463099999999, -78.867783 42.905811, -78.867538 42.906604, -78.86749399999999 42.906747, -78.86716899999999 42.907666, -78.866935 42.908327, -78.866771 42.908854, -78.86672 42.90899599999999, -78.866523 42.909554, -78.86626299999999 42.910287, -78.86591299999999 42.911246, -78.865494 42.912486, -78.865026 42.913837, -78.86498399999999 42.913944, -78.86482699999999 42.91434599999999, -78.864642 42.914903, -78.86460199999999 42.915015, -78.864671 42.915207, -78.864655 42.915352, -78.86443199999999 42.915349, -78.86358799999999 42.915343, -78.86292 42.915335, -78.86232099999999 42.915323, -78.86233199999999 42.91439099999999, -78.862357 42.913936, -78.862374 42.913206, -78.86238299999999 42.912457, -78.86239499999999 42.911863, -78.862416 42.91121, -78.86243999999999 42.910218, -78.862438 42.909975, -78.862447 42.90949699999999, -78.86246199999999 42.909006, -78.862477 42.908477, -78.862498 42.907584, -78.862517 42.906689, -78.86253499999999 42.905755, -78.862551 42.904856, -78.862566 42.903948, -78.864752 42.903968, -78.866073 42.903985, -78.86776399999999 42.903746, -78.86847999999999 42.90370799999999, -78.868179 42.904601))"
75,36,029,016800,1,360290168001,Block Group 1,G5030,S,465466,0,+42.9068994,-078.8581310,"POLYGON ((-78.862551 42.904856, -78.86253499999999 42.905755, -78.862517 42.906689, -78.862498 42.907584, -78.862477 42.908477, -78.86246199999999 42.909006, -78.862447 42.90949699999999, -78.861862 42.909483, -78.859627 42.909443, -78.859618 42.91015, -78.856825 42.91011899999999, -78.855577 42.910107, -78.853979 42.910104, -78.853978 42.909852, -78.853966 42.909373, -78.853965 42.90902699999999, -78.853965 42.908368, -78.853965 42.908236, -78.853966 42.907454, -78.853978 42.906579, -78.85398599999999 42.906037, -78.85398599999999 42.905648, -78.85398599999999 42.90485, -78.85397399999999 42.903838, -78.85522899999999 42.903854, -78.856208 42.903866, -78.857148 42.903878, -78.857327 42.90388, -78.859741 42.903909, -78.86148799999999 42.90393299999999, -78.862566 42.903948, -78.862551 42.904856))"
76,36,029,016800,4,360290168004,Block Group 4,G5030,S,408133,0,+42.9125673,-078.8583172,"POLYGON ((-78.862438 42.909975, -78.86243999999999 42.910218, -78.862416 42.91121, -78.86239499999999 42.911863, -78.86238299999999 42.912457, -78.862374 42.913206, -78.862357 42.913936, -78.86233199999999 42.91439099999999, -78.86232099999999 42.915323, -78.860541 42.915297, -78.859487 42.91528599999999, -78.85854599999999 42.915278, -78.85763299999999 42.91527, -78.85672 42.915268, -78.85578699999999 42.915269, -78.85511 42.915269, -78.85487999999999 42.915205, -78.85398499999999 42.914957, -78.853984 42.914757, -78.853989 42.913865, -78.85398499999999 42.912986, -78.85398599999999 42.91236, -78.85398599999999 42.912342, -78.853984 42.911722, -78.85398499999999 42.911181, -78.853982 42.911121, -78.853984 42.91059, -78.85397999999999 42.910161, -78.853979 42.910104, -78.855577 42.910107, -78.856825 42.91011899999999, -78.859618 42.91015, -78.859627 42.909443, -78.861862 42.909483, -78.862447 42.90949699999999, -78.862438 42.909975))"
817,36,029,006602,1,360290066021,Block Group 1,G5030,S,155932,0,+42.9143061,-078.8732873,"POLYGON ((-78.877061 42.914115, -78.87704699999999 42.915465, -78.87634199999999 42.915455, -78.875681 42.915449, -78.87371 42.915431, -78.873515 42.915429, -78.87312799999999 42.915426, -78.870689 42.915404, -78.869173 42.915394, -78.869372 42.914691, -78.86956599999999 42.91408, -78.86982499999999 42.913136, -78.87165399999999 42.913147, -78.872815 42.913152, -78.87589899999999 42.91316, -78.877061 42.913173, -78.877061 42.914115))"
835,36,029,016900,4,360290169004,Block Group 4,G5030,S,188964,0,+42.9217360,-078.8645317,"POLYGON ((-78.870627 42.922975, -78.86977999999999 42.92350099999999, -78.867442 42.923534, -78.867407 42.92303, -78.86733099999999 42.922299, -78.867329 42.922272, -78.86463599999999 42.92227, -78.86377 42.922265, -78.86302599999999 42.922261, -78.86219 42.922256, -78.860726 42.922238, -78.86003699999999 42.922234, -78.859329 42.92222599999999, -78.858924 42.922217, -78.857315 42.92218099999999, -78.85756499999999 42.92195, -78.85801499999999 42.921526, -78.858835 42.920752, -78.85959099999999 42.920735, -78.85999699999999 42.920727, -78.860625 42.920714, -78.86220899999999 42.920682, -78.86312699999999 42.920663, -78.86384099999999 42.920647, -78.864047 42.920641, -78.864346 42.920634, -78.86518 42.920613, -78.866863 42.92058, -78.86708299999999 42.920602, -78.867278 42.920645, -78.867408 42.920699, -78.867538 42.920779, -78.86765699999999 42.920851, -78.867773 42.920905, -78.86788899999999 42.920898, -78.86800099999999 42.920887, -78.868105 42.92083299999999, -78.868275 42.920714, -78.869146 42.921422, -78.86978999999999 42.922267, -78.869811 42.922284, -78.870627 42.922975))"
838,36,029,006501,1,360290065011,Block Group 1,G5030,S,144871,0,+42.9179035,-078.8786704,"POLYGON ((-78.88033 42.916936, -78.88032199999999 42.91862099999999, -78.880304 42.920293, -78.87913999999999 42.920315, -78.878603 42.92033, -78.877921 42.920338, -78.87701 42.920355, -78.877014 42.919451, -78.87702 42.918677, -78.87702 42.918648, -78.87702899999999 42.91751199999999, -78.87703399999999 42.91693799999999, -78.877039 42.916919, -78.87704699999999 42.915465, -78.878659 42.915479, -78.879335 42.915488, -78.88033899999999 42.915493, -78.88033 42.916936))"
839,36,029,006501,3,360290065013,Block Group 3,G5030,S,100909,0,+42.9178224,-078.8844916,"POLYGON ((-78.885734 42.917862, -78.885665 42.918543, -78.885488 42.919923, -78.885451 42.920217, -78.884417 42.920232, -78.883326 42.920244, -78.883314 42.919674, -78.88328899999999 42.918572, -78.883235 42.916905, -78.883455 42.916901, -78.883409 42.915467, -78.88452099999999 42.91543799999999, -78.885666 42.915411, -78.88571 42.916861, -78.885734 42.917862))"
840,36,029,006501,4,360290065014,Block Group 4,G5030,S,107730,0,+42.9177769,-078.8868854,"POLYGON ((-78.888221 42.91608799999999, -78.888136 42.916819, -78.88806599999999 42.917508, -78.888057 42.917526, -78.88812799999999 42.918188, -78.88815 42.918386, -78.88815799999999 42.918465, -78.888165 42.918507, -78.88813999999999 42.918507, -78.888137 42.91854499999999, -78.887941 42.920046, -78.88791599999999 42.920195, -78.886681 42.9202, -78.885451 42.920217, -78.885488 42.919923, -78.885665 42.918543, -78.885734 42.917862, -78.88571 42.916861, -78.885666 42.915411, -78.88617599999999 42.915398, -78.886797 42.915381, -78.886906 42.915382, -78.88734099999999 42.915368, -78.88738699999999 42.915367, -78.888305 42.915344, -78.888221 42.91608799999999))"
841,36,029,016900,3,360290169003,Block Group 3,G5030,S,324969,0,+42.9182755,-078.8648652,"POLYGON ((-78.868752 42.916958, -78.868706 42.91716, -78.86847 42.918056, -78.868427 42.918223, -78.86832699999999 42.918614, -78.868314 42.918664, -78.868235 42.918966, -78.86814199999999 42.919326, -78.86810199999999 42.919455, -78.86796199999999 42.919968, -78.867903 42.920096, -78.867766 42.920222, -78.86757799999999 42.920334, -78.86748799999999 42.920417, -78.86745499999999 42.920518, -78.867459 42.920612, -78.86749499999999 42.92069499999999, -78.867538 42.920779, -78.867408 42.920699, -78.867278 42.920645, -78.86708299999999 42.920602, -78.866863 42.92058, -78.86518 42.920613, -78.864346 42.920634, -78.864047 42.920641, -78.86384099999999 42.920647, -78.86312699999999 42.920663, -78.86220899999999 42.920682, -78.860625 42.920714, -78.85999699999999 42.920727, -78.85959099999999 42.920735, -78.858835 42.920752, -78.859235 42.920368, -78.859405 42.920204, -78.85994099999999 42.919693, -78.86017 42.919474, -78.860624 42.91904, -78.86130199999999 42.918386, -78.861954 42.917764, -78.86210199999999 42.917623, -78.86226099999999 42.917473, -78.862847 42.916889, -78.86359399999999 42.916159, -78.863789 42.915979, -78.86443199999999 42.915349, -78.864655 42.915352, -78.865495 42.915365, -78.86682399999999 42.91537599999999, -78.869173 42.915394, -78.868752 42.916958))"
842,36,029,016900,1,360290169001,Block Group 1,G5030,S,156716,0,+42.9194822,-078.8722872,"POLYGON ((-78.87702 42.918677, -78.877014 42.919451, -78.87701 42.920355, -78.8762 42.920366, -78.87532299999999 42.92039, -78.871466 42.920482, -78.87063499999999 42.92049799999999, -78.868993 42.920537, -78.8686 42.92054599999999, -78.868405 42.920511, -78.868308 42.920486, -78.86810199999999 42.92036299999999, -78.868015 42.920305, -78.86787099999999 42.92028, -78.867712 42.920291, -78.86757799999999 42.920334, -78.867766 42.920222, -78.867903 42.920096, -78.86796199999999 42.919968, -78.86810199999999 42.919455, -78.86814199999999 42.919326, -78.868235 42.918966, -78.868314 42.918664, -78.86832699999999 42.918614, -78.868427 42.918223, -78.86847 42.918056, -78.870499 42.918377, -78.870721 42.918421, -78.872238 42.918639, -78.875063 42.918643, -78.87702 42.918648, -78.87702 42.918677))"
